word,count
the,44
in,28
and,26
of,22
he,21
to,15
a,13
as,10
on,9
is,9
which,8
python,7
his,7
with,6
for,6
i,5
learned,5
from,5
programming,5
facundo,5
at,5
different,5
was,5
after,5
an,4
data,4
game,4
platzi,4
such,4
language,3
loops,3
create,3
various,3
several,3
courses,3
platform,3
course,3
projects,3
this,3
time,3
during,3
national,3
year,3
also,3
where,3
students,3
program,2
planet,2
functions,2
structures,2
conditionals,2
basic,2
test,2
garcía,2
martoni,2
frontend,2
backend,2
passionate,2
about,2
science,2
technical,2
coach,2
master,2
first,2
terror,2
mod,2
new,2
world,2
years,2
up,2
debate,2
competitions,2
model,2
united,2
nations,2
team,2
engineering,2
argentine,2
creation,2
learning,2
becomes,2
months,2
platzis,2
quality,2
questions,2
creates,2
pyhon,1
basics,1
oscar,1
eduardo,1
fuentes,1
scratch,1
fastest,1
growing,1
discovered,1
what,1
algorithm,1
how,1
build,1
one,1
mastered,1
variables,1
tools,1
concepts,1
programs,1
developed,1
calculator,1
guessing,1
dictionaries,1
multiplication,1
tables,1
password,1
generator,1
currency,1
converters,1
palindrome,1
primality,1
path,1
,1
professor,1
house,1
expert,1
engineer,1
powerlifter,1
developer,1
fields,1
technology,1
industry,1
iot,1
internet,1
things,1
interactive,1
design,1
among,1
others,1
argentinean,1
born,1
province,1
tucumán,1
works,1
teaches,1
fundamentals,1
web,1
scraping,1
xpath,1
scrapy,1
were,1
modifications,1
grand,1
theft,1
auto,1
san,1
andreas,1
2011,1
specifically,1
socalled,1
added,1
characters,1
story,1
protagonist,1
had,1
kill,1
monsters,1
taken,1
urban,1
legends,1
creepypastas,1
movies,1
video,1
games,1
reached,1
4,1
million,1
downloads,1
its,1
best,1
shown,1
hundreds,1
youtube,1
videos,1
facundos,1
contact,1
due,1
internal,1
mechanics,1
c,1
later,1
college,1
would,1
end,1
deepening,1
knowledge,1
these,1
before,1
fully,1
entering,1
development,1
participated,1
public,1
speaking,1
country,1
captain,1
champion,1
2017,1
simulation,1
teams,1
represent,1
countries,1
nonprofit,1
organizations,1
come,1
resolutions,1
interest,1
given,1
parallel,1
frequent,1
participant,1
math,1
olympiads,1
competed,1
reaching,1
level,1
beginning,1
2018,1
started,1
career,1
information,1
systems,1
technological,1
university,1
moment,1
life,1
joins,1
competitive,1
tournament,1
meetings,1
held,1
throughout,1
skill,1
speed,1
algorithms,1
however,1
deep,1
analysis,1
both,1
personal,1
market,1
leaves,1
institution,1
embark,1
adventure,1
search,1
better,1
more,1
efficient,1
ways,1
meet,1
digital,1
services,1
delves,1
into,1
computer,1
wireless,1
network,1
security,1
mobile,1
applications,1
languages,1
java,1
dart,1
javascript,1
that,1
journey,1
experimenting,1
resources,1
finds,1
advantaged,1
learner,1
8,1
study,1
october,1
2019,1
completing,1
couple,1
runs,1
hired,1
associate,1
assurance,1
position,1
charge,1
6,1
ensuring,1
prelaunch,1
answering,1
community,1
forum,1
early,1
2020,1
when,1
project,1
begins,1
elite,1
training,1
software,1
professionals,1
job,1
exclusive,1
content,1
answers,1
individual,1
tutorials,1
same,1
second,1
lieutenant,1
army,1
survive,1
adverse,1
situations,1
get,1
water,1
fire,1
shelter,1
selfdefense,1
why,1
practices,1
karate,1
addition,1
sports,1
side,1
great,1
hobby,1
weightlifting,1
powerlifting,1
well,1
street,1
workout,1
calisthenics,1
likes,1
play,1
chess,1
assemble,1
rubiks,1
cubes,1
fast,1
possible,1
today,1
focused,1
strengthening,1
skills,1
apply,1
them,1
impactful,1
improve,1
near,1
future,1
company,1
